# See the example.txt airport for all possible sections and items to add to this file.

[airspace]
radius = 55			; airspace radius in NM
zoom = 7.0 			; default zoom level, increase to zoom in
elevation = 13 			; ground altitude in feet
floor = 1800 			; minimum selectable altitude
descendaltitude = 12000 	; minimum initial altitude for arrivals
ceiling = 13000 		; maximum selectable altitude
above = 14000 			; maximum departure altitude when SID is enabled (must be above ceiling)
transitionaltitude = 18000	; highest altitude displayed in feet instead of flight level
speedrestriction = 20, 230 	; radius in NM, and speed in knots
usa = true			; American-style callsign pronunciation and runway names
metric = false			; display altitudes in metres instead of feet
separation = 3			; minimum allowed distance between aircraft in NM
center = N42.36429977, W71.00520325
magneticvar = -14.364
beacons =
	BOS, N42.35740, W70.98950, 0, Boston
	IMR, N42.09790, W70.67530, 0, Marshfield
	LWM, N42.74040, W71.09480, 0, Lawrence
	IHM, N42.00280, W71.19710, 0, Mansfield
	PYM, N41.84750, W70.80270, 0, Plymouth
	PSM, N43.08446, W70.83199, 0, pease
	ENE, N43.42567, W70.61353, 0, kennebunk
	MHT, N42.86850, W71.36950, 0, Manchester
	PVC, N42.06890, W70.22360, 0, Provincetown
	PVD, N41.72430, W71.42960, 0, Providence
	PSM, N43.08450, W70.83200, 0, Pease
	PUT, N41.95550, W71.84410, 0, Putnam
	FMH, N41.73260, W70.44090, 0, Otis
	LFV, N42.01720, W70.03730, 0, Marconi
	GDM, N42.54600, W72.05820, 0, Gardner
	ACK, N41.28189, W70.02671, 0, nantucket
	SEY, N41.16744, W71.57609, 0, sandy point
	MVY, N41.39621, W70.61272, 0, martha's vineyard

# BOS beacons
    AADMS, N42.35.07.53, W071.19.08.13, aadms
    N42.29.47.18, W072.04.04.95, 11000, 330 ; WORIA
    N42.29.45.89, W071.50.33.89, 8000, 330 ; BCATS
    N42.29.43.42, W071.38.36.68, 6000, 330 ; GOLEE
    N42.29.41.90, W071.33.12.27, 6000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

##################################################
[approach116]
##################################################
# ZELKA.ZELKA2
runway = BVY_16_34, rev
beacon = ZELKA

route1 =
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

# ##################################################
# [approach117]
# ##################################################
# # HFD.DREEM2
# runway = LWM_05_23
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 14000, 330 ; DVANY
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     end, 076
#
# ##################################################
# [approach118]
# ##################################################
# # ORW.DREEM2
# runway = LWM_05_23
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 14000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 14000, 330 ; BLATT
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     end, 076

##################################################
[approach119]
##################################################
# WIPOR.DREEM2
runway = LWM_05_23
beacon = WIPOR

route1 =
    N41.39.23.07, W072.10.37.67, 14000, 330 ; WIPOR
    N41.50.22.56, W072.07.02.55, 14000, 330 ; PAISN
    N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
    N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    end, 076

##################################################
[approach120]
##################################################
# DREEM.DREEM2
runway = LWM_05_23
beacon = DREEM

route1 =
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    end, 076

# ##################################################
# [approach121]
# ##################################################
# # HFD.GRAYM6
# runway = LWM_05_23
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 11000, 250 ; DVANY
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056
#
# ##################################################
# [approach122]
# ##################################################
# # ORW.GRAYM6
# runway = LWM_05_23
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 11000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 11000, 250 ; BLATT
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056

##################################################
[approach123]
##################################################
# GRAYM.GRAYM6
runway = LWM_05_23
beacon = GRAYM

route1 =
    N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
    N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
    N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
    end, 056

##################################################
[approach124]
##################################################
# EEGUL.ZELKA2
runway = LWM_05_23
beacon = EEGUL

route1 =
    N42.37.31.23, W073.08.16.51, 14000, 330 ; EEGUL
    N42.36.19.75, W072.57.33.67, 14000, 330 ; TERIA
    N42.31.13.98, W072.15.26.78, 14000, 330 ; HAUKS
    N42.29.47.18, W072.04.04.95, 11000, 330 ; WORIA
    N42.29.45.89, W071.50.33.89, 8000, 330 ; BCATS
    N42.29.43.42, W071.38.36.68, 6000, 330 ; GOLEE
    N42.29.41.90, W071.33.12.27, 6000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

##################################################
[approach125]
##################################################
# ZELKA.ZELKA2
runway = LWM_05_23
beacon = ZELKA

route1 =
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

# ##################################################
# [approach126]
# ##################################################
# # HFD.DREEM2
# runway = LWM_14_32,
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 14000, 330 ; DVANY
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     end, 076
#
# ##################################################
# [approach127]
# ##################################################
# # ORW.DREEM2
# runway = LWM_14_32,
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 14000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 14000, 330 ; BLATT
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     end, 076

##################################################
[approach128]
##################################################
# WIPOR.DREEM2
runway = LWM_14_32,
beacon = WIPOR

route1 =
    N41.39.23.07, W072.10.37.67, 14000, 330 ; WIPOR
    N41.50.22.56, W072.07.02.55, 14000, 330 ; PAISN
    N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
    N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    end, 076

##################################################
[approach129]
##################################################
# DREEM.DREEM2
runway = LWM_14_32,
beacon = DREEM

route1 =
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    end, 076

# ##################################################
# [approach130]
# ##################################################
# # HFD.GRAYM6
# runway = LWM_14_32,
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 11000, 250 ; DVANY
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056

# ##################################################
# [approach131]
# ##################################################
# # ORW.GRAYM6
# runway = LWM_14_32,
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 11000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 11000, 250 ; BLATT
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056

##################################################
[approach132]
##################################################
# GRAYM.GRAYM6
runway = LWM_14_32,
beacon = GRAYM

route1 =
    N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
    N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
    N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
    end, 056

##################################################
[approach133]
##################################################
# EEGUL.ZELKA2
runway = LWM_14_32,
beacon = EEGUL

route1 =
    N42.37.31.23, W073.08.16.51, 14000, 330 ; EEGUL
    N42.36.19.75, W072.57.33.67, 14000, 330 ; TERIA
    N42.31.13.98, W072.15.26.78, 14000, 330 ; HAUKS
    N42.29.47.18, W072.04.04.95, 11000, 330 ; WORIA
    N42.29.45.89, W071.50.33.89, 8000, 330 ; BCATS
    N42.29.43.42, W071.38.36.68, 6000, 330 ; GOLEE
    N42.29.41.90, W071.33.12.27, 6000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

##################################################
[approach134]
##################################################
# ZELKA.ZELKA2
runway = LWM_14_32,
beacon = ZELKA

route1 =
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

# ##################################################
# [approach135]
# ##################################################
# # HFD.DREEM2
# runway = LWM_05_23, rev
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 14000, 330 ; DVANY
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     end, 076

# ##################################################
# [approach136]
# ##################################################
# # ORW.DREEM2
# runway = LWM_05_23, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 14000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 14000, 330 ; BLATT
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     end, 076

##################################################
[approach137]
##################################################
# WIPOR.DREEM2
runway = LWM_05_23, rev
beacon = WIPOR

route1 =
    N41.39.23.07, W072.10.37.67, 14000, 330 ; WIPOR
    N41.50.22.56, W072.07.02.55, 14000, 330 ; PAISN
    N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
    N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    end, 076

##################################################
[approach138]
##################################################
# DREEM.DREEM2
runway = LWM_05_23, rev
beacon = DREEM

route1 =
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    end, 076

# ##################################################
# [approach139]
# ##################################################
# # HFD.GRAYM6
# runway = LWM_05_23, rev
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 11000, 250 ; DVANY
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056
#
# ##################################################
# [approach140]
# ##################################################
# # ORW.GRAYM6
# runway = LWM_05_23, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 11000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 11000, 250 ; BLATT
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056

##################################################
[approach141]
##################################################
# GRAYM.GRAYM6
runway = LWM_05_23, rev
beacon = GRAYM

route1 =
    N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
    N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
    N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
    end, 056

##################################################
[approach142]
##################################################
# EEGUL.ZELKA2
runway = LWM_05_23, rev
beacon = EEGUL

route1 =
    N42.37.31.23, W073.08.16.51, 14000, 330 ; EEGUL
    N42.36.19.75, W072.57.33.67, 14000, 330 ; TERIA
    N42.31.13.98, W072.15.26.78, 14000, 330 ; HAUKS
    N42.29.47.18, W072.04.04.95, 11000, 330 ; WORIA
    N42.29.45.89, W071.50.33.89, 8000, 330 ; BCATS
    N42.29.43.42, W071.38.36.68, 6000, 330 ; GOLEE
    N42.29.41.90, W071.33.12.27, 6000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

##################################################
[approach143]
##################################################
# ZELKA.ZELKA2
runway = LWM_05_23, rev
beacon = ZELKA

route1 =
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

# ##################################################
# [approach144]
# ##################################################
# # HFD.DREEM2
# runway = LWM_14_32, rev
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 14000, 330 ; DVANY
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     end, 076
#
# ##################################################
# [approach145]
# ##################################################
# # ORW.DREEM2
# runway = LWM_14_32, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 14000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 14000, 330 ; BLATT
#     N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
#     N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
#     N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
#     N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
#     N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
#     end, 076

##################################################
[approach146]
##################################################
# WIPOR.DREEM2
runway = LWM_14_32, rev
beacon = WIPOR

route1 =
    N41.39.23.07, W072.10.37.67, 14000, 330 ; WIPOR
    N41.50.22.56, W072.07.02.55, 14000, 330 ; PAISN
    N42.06.04.27, W072.01.53.49, 14000, 330 ; GRAYM
    N42.15.46.19, W071.51.17.51, 14000, 330 ; GASSE
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    end, 076

##################################################
[approach147]
##################################################
# DREEM.DREEM2
runway = LWM_14_32, rev
beacon = DREEM

route1 =
    N42.21.42.65, W071.44.34.13, 14000, 330 ; DREEM
    N42.25.09.39, W071.39.40.53, 14000, 330 ; WANLA
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 14000, 330 ; RIKAH
    end, 076

# ##################################################
# [approach148]
# ##################################################
# # HFD.GRAYM6
# runway = LWM_14_32, rev
# beacon = HFD
#
# route1 =
#     N41.38.27.98, W072.32.50.71, 14000, 330 ; HFD
#     N41.51.44.56, W072.18.11.25, 11000, 250 ; DVANY
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056
#
# ##################################################
# [approach149]
# ##################################################
# # ORW.GRAYM6
# runway = LWM_14_32, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.43.22.76, W072.00.32.87, 11000, 330 ; MOGUL
#     N41.49.37.10, W072.00.54.94, 11000, 250 ; BLATT
#     N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
#     N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
#     N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
#     end, 056

##################################################
[approach150]
##################################################
# GRAYM.GRAYM6
runway = LWM_14_32, rev
beacon = GRAYM

route1 =
    N42.06.04.27, W072.01.53.49, 8000, 250 ; GRAYM
    N42.15.46.19, W071.51.17.51, 5000, 210 ; GASSE
    N42.21.42.65, W071.44.34.13, 5000, 210 ; DREEM
    end, 056

##################################################
[approach151]
##################################################
# EEGUL.ZELKA2
runway = LWM_14_32, rev
beacon = EEGUL

route1 =
    N42.37.31.23, W073.08.16.51, 14000, 330 ; EEGUL
    N42.36.19.75, W072.57.33.67, 14000, 330 ; TERIA
    N42.31.13.98, W072.15.26.78, 14000, 330 ; HAUKS
    N42.29.47.18, W072.04.04.95, 11000, 330 ; WORIA
    N42.29.45.89, W071.50.33.89, 8000, 330 ; BCATS
    N42.29.43.42, W071.38.36.68, 6000, 330 ; GOLEE
    N42.29.41.90, W071.33.12.27, 6000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

##################################################
[approach152]
##################################################
# ZELKA.ZELKA2
runway = LWM_14_32, rev
beacon = ZELKA

route1 =
    N42.29.41.90, W071.33.12.27, 14000, 330 ; ZELKA
    N42.33.05.03, W071.25.07.23, 6000, 210 ; RIKAH
    N42.34.38.27, W071.11.35.48, 6000, 210 ; EXXRO
    end, 097

[planetypes]
types =
	B721, 4, 160, 250, 2.9, 3.2, 1000, 1560, 131, 144, 1.1, 1.3, Boeing
	B722, 4, 160, 250, 2.9, 3.2, 1000, 1560, 131, 144, 1.1, 1.3, Boeing
	DC10, 2, 160, 250, 2.1, 2.9, 1000, 1440, 145, 160, 1.1, 1.3, Douglas
	C402, 6, 100, 230, 2.9, 3.2, 1000, 1400, 60, 100, 1.1, 1.3, Cessna
	E45X, 5, 160, 250, 2.9, 3.2, 1000, 1550, 122, 134, 1.1, 1.3, Embraer
	J328, 5, 160, 250, 2.9, 3.2, 1000, 1560, 122, 134, 1.1, 1.3, Dornier
