# This is an automatically generated airport file for Endless ATC.
# Feel free to improve, use and share this file, at your own risk.
# Data from ourairports.com.
# Coastline from naturalearthdata.com.
# See the example.txt airport for all possible sections and items to add to this file.

[airspace]
radius = 50
elevation = 841
usa = true
transition = 18001
center = N44.882, W93.221802
floor = 2000 			; minimum selectable altitude
descendaltitude = 7000 	; minimum initial altitude for arrivals
ceiling = 13000 		; maximum selectable altitude
above = 17000 			; maximum departure altitude when SID is enabled (must be above ceiling)
magneticvar = 1.529
beacons =
	MSP, N44.89650, W93.23650, 0, Minneapolis

# KMSP STAR BEACONS
    AANAH, N44.25.41.36, W093.19.19.23, aanah
# ZMBRO
    N43.54.44.39, W091.28.03.06
# ODI


##################################################
[departure2]
runway = KMSP_17_35

route1 =
    HSTIN4.HSTIN, HSTIN4
    N44.48.31.68, W093.15.18.72
# BDOGG
    N44.44.14.85, W093.19.24.52
# MNDEE
    N44.40.03.22, W093.23.23.11
# PRAMN
    N44.34.56.19, W093.27.48.29
# HITTL
    N44.24.52.14, W093.36.27.99
# NANCZ
    N44.00.08.00, W093.57.40.00
# HSTIN

route2 =
    HSTIN4.DABOY, HSTIN4
    N44.48.31.68, W093.15.18.72
# BDOGG
    N44.44.14.85, W093.19.24.52
# MNDEE
    N44.40.03.22, W093.23.23.11
# PRAMN
    N44.34.56.19, W093.27.48.29
# HITTL
    N44.24.52.14, W093.36.27.99
# NANCZ
    N44.00.08.00, W093.57.40.00
# HSTIN
    N43.11.32.00, W094.08.25.00
# YUPER
    N41.53.19.05, W094.27.34.27
# DABOY

route3 =
    HSTIN4.ZZEEE, HSTIN4
    N44.48.31.68, W093.15.18.72
# BDOGG
    N44.44.14.85, W093.19.24.52
# MNDEE
    N44.40.03.22, W093.23.23.11
# PRAMN
    N44.34.56.19, W093.27.48.29
# HITTL
    N44.24.52.14, W093.36.27.99
# NANCZ
    N44.00.08.00, W093.57.40.00
# HSTIN
    N43.19.35.00, W094.28.53.00
# BBERD
    N42.06.21.00, W095.24.14.00
# ZZEEE

route4 =
    MEDOW4., MEDOW4
    N44.50.18.20, W093.13.45.93
# HUSHH

route5 =
    SLAYR4.SLAYR, SLAYR4
    N44.48.31.68, W093.15.18.72
# BDOGG
    N44.44.58.99, W093.21.21.86
# CLIKR
    N44.40.42.68, W093.33.54.89
# KEYPR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.06.00, W094.08.53.00
# SLAYR

route6 =
    SLAYR4.TEYOU, SLAYR4
    N44.48.31.68, W093.15.18.72
# BDOGG
    N44.44.58.99, W093.21.21.86
# CLIKR
    N44.40.42.68, W093.33.54.89
# KEYPR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.06.00, W094.08.53.00
# SLAYR
    N43.55.42.00, W095.05.31.00
# TTOSS
    N43.17.30.00, W096.16.25.00
# TEYOU

route7 =
    WLSTN7.WLSTN, WLSTN7
    N45.15.06.76, W092.39.02.89
# SNINE
    N45.18.12.16, W092.17.15.24
# DWIYT
    N45.28.26.44, W091.00.55.27
# WLSTN

route8 =
    WLSTN7.GRB, WLSTN7
    N45.15.06.76, W092.39.02.89
# SNINE
    N45.18.12.16, W092.17.15.24
# DWIYT
    N45.28.26.44, W091.00.55.27
# WLSTN
    N44.33.18.58, W088.11.41.49
# GRB


##################################################
[departure3]
runway = KMSP_04_22

route1 =
    WLSTN7.WLSTN, WLSTN7
    N45.15.06.76, W092.39.02.89
# SNINE
    N45.18.12.16, W092.17.15.24
# DWIYT
    N45.28.26.44, W091.00.55.27
# WLSTN

route2 =
    WLSTN7.GRB, WLSTN7
    N45.15.06.76, W092.39.02.89
# SNINE
    N45.18.12.16, W092.17.15.24
# DWIYT
    N45.28.26.44, W091.00.55.27
# WLSTN
    N44.33.18.58, W088.11.41.49
# GRB


##################################################
[departure4]
runway = KMSP_RW12B

route1 =
    WLSTN7.WLSTN, WLSTN7
    N45.15.06.76, W092.39.02.89
# SNINE
    N45.18.12.16, W092.17.15.24
# DWIYT
    N45.28.26.44, W091.00.55.27
# WLSTN

route2 =
    WLSTN7.GRB, WLSTN7
    N45.15.06.76, W092.39.02.89
# SNINE
    N45.18.12.16, W092.17.15.24
# DWIYT
    N45.28.26.44, W091.00.55.27
# WLSTN
    N44.33.18.58, W088.11.41.49
# GRB


##################################################
[departure5]
runway = KMSP_04_22, rev

route1 =
    WLSTN7.WLSTN, WLSTN7
    N45.15.06.76, W092.39.02.89
# SNINE
    N45.18.12.16, W092.17.15.24
# DWIYT
    N45.28.26.44, W091.00.55.27
# WLSTN

route2 =
    WLSTN7.GRB, WLSTN7
    N45.15.06.76, W092.39.02.89
# SNINE
    N45.18.12.16, W092.17.15.24
# DWIYT
    N45.28.26.44, W091.00.55.27
# WLSTN
    N44.33.18.58, W088.11.41.49
# GRB


##################################################
[departure6]
runway = KMSP_RW30B

route1 =
    WLSTN7.WLSTN, WLSTN7
    N45.15.06.76, W092.39.02.89
# SNINE
    N45.18.12.16, W092.17.15.24
# DWIYT
    N45.28.26.44, W091.00.55.27
# WLSTN

route2 =
    WLSTN7.GRB, WLSTN7
    N45.15.06.76, W092.39.02.89
# SNINE
    N45.18.12.16, W092.17.15.24
# DWIYT
    N45.28.26.44, W091.00.55.27
# WLSTN
    N44.33.18.58, W088.11.41.49
# GRB


##################################################
[departure7]
runway = KMSP_17_35, rev

route1 =
    WLSTN7.WLSTN, WLSTN7
    N45.15.06.76, W092.39.02.89
# SNINE
    N45.18.12.16, W092.17.15.24
# DWIYT
    N45.28.26.44, W091.00.55.27
# WLSTN

route2 =
    WLSTN7.GRB, WLSTN7
    N45.15.06.76, W092.39.02.89
# SNINE
    N45.18.12.16, W092.17.15.24
# DWIYT
    N45.28.26.44, W091.00.55.27
# WLSTN
    N44.33.18.58, W088.11.41.49
# GRB
